method,status,solver_status,solve_time_s,solver_inaccurate,error,rate_spectral_efficiency,rate_bps,tx_power_w,system_power_w,energy_efficiency_bit_per_j,sensing_surrogate,delay_fim_per_s2,delay_fim_known_amplitude_per_s2,delay_fim_unknown_amplitude_per_s2,delay_crb_s2,range_rmse_bound_m,psl_db,isl_db,peak_power_w,power_variance_w2,num_active_subcarriers,spectral_centroid_hz,power_weighted_spectral_variance_hz2,unknown_amplitude_kernel_w_hz2,mainlobe_exclusion_s,label,channel_kind,realization,psl_max_db_request,validation_psl_violation,sensing_model,min_sensing_surrogate,sensing_fraction,s_max,min_unknown_fim,gamma_fim_kernel,c_beta,unknown_fim_representation,s0_epsilon_w,fim_fraction,j_max,requested_psl_max_db,optimization_grid_psl_db,validation_grid_psl_db,validation_grid_isl_db,worst_delay_s,violation_margin_db,optimization_grid_sidelobe_samples,validation_grid_sidelobe_samples,psl_max_db,psl_rho,num_psl_soc_constraints,psl_mainlobe_exclusion_s
water_filling,ok,ok,0.0,False,,304.6282877408704,4569424.316113056,1.0000000000006715,3.3571428571447757,1361105.1154371537,77481777156.77829,2.0440807422495127e+18,2.0440807422495127e+18,2.0440701051920696e+18,4.892174654996745e-19,0.1048435418428733,-12.45323828588765,-8.415354744193225,0.017036940100155114,6.484058226108872e-06,64,-634.9821479716086,77481373954.39801,77481373954.45004,1.0416666666666667e-06,Water-filling (comm. only),ordinary,5,-13.256466474732292,False,,,,,,,,,,,,,,,,,,,,,,,
linear_sensing,ok,optimal,0.005250198999419808,False,,298.5646388368755,4478469.582553132,0.9999999990530748,3.357142854437357,1334012.2171547285,106548749925.26251,2.810909297966911e+18,2.810909297966911e+18,2.81089802689417e+18,3.55756765514734e-19,0.08940612889744008,-7.586051887995177,-2.131665025835097,0.03900292360604937,5.518427532431438e-05,64,-653.6321263724517,106548322791.19958,106548322690.30629,1.0416666666666667e-06,Linear S(P) (known-amp. surrogate),ordinary,5,-13.256466474732292,False,known_amplitude_linear,106548750000.0,0.6,177581250000.0,,,,,,,,,,,,,,,,,,,
exact_fim,ok,optimal,0.006094079999456881,False,,304.58083731224247,4568712.559683637,0.9999999992681721,3.3571428550519204,1360893.1037320956,79911906970.04019,2.1081910625691402e+18,2.1081910625691402e+18,2.108181975740947e+18,4.74340308976243e-19,0.10323708262732202,-11.874070397444571,-7.796574921476695,0.018109736603255662,6.953344800216649e-06,64,-586.8902868458747,79911562588.31316,79911562529.83165,1.0416666666666667e-06,Exact unknown-amplitude FIM,ordinary,5,-13.256466474732292,False,unknown_amplitude_exact,,,,2.1081819725736271e+18,79911562409.77301,26381438.54281344,quad_over_lin,1e-12,0.45,4.684848827941393e+18,,,,,,,,,,,,
exact_fim_psl,ok,optimal,0.4309936080026091,False,,304.45567746786264,4566835.16201794,0.9999999996822456,3.357142856234988,1360333.8784157708,79912239638.03122,2.1081998388293007e+18,2.1081998388293007e+18,2.1081819708644541e+18,4.743383343370843e-19,0.10323686774341453,-12.889531175360469,-7.87796182049493,0.020182736914970436,6.842465486971979e-06,64,-822.978156081808,79911562370.3783,79911562344.98605,1.0416666666666667e-06,Exact FIM + sampled PSL,ordinary,5,-13.256466474732292,True,unknown_amplitude_exact,,,,2.1081819725736271e+18,79911562409.77301,26381438.54281344,quad_over_lin,1e-12,0.45,4.684848827941393e+18,-13.256466474732292,-13.25646648651034,-12.85553195613647,-7.877921399930397,-1.46484375e-06,-0.40093451859582174,249.0,1985.0,-13.256466474732292,0.2173585239870126,249.0,1.0416666666666667e-06
water_filling,ok,ok,0.0,False,,330.10790813816743,4951618.622072511,1.0000000000009703,3.3571428571456297,1474950.2278501682,77855270490.59738,2.0539340336818115e+18,2.0539340336818115e+18,2.053933615381547e+18,4.868705535822075e-19,0.1045917577305294,-12.8853600731109,-8.741131622648401,0.016586845695144348,3.8089473584446065e-06,64,125.92003418942537,77855254634.66682,77855254634.74237,1.0416666666666667e-06,Water-filling (comm. only),ordinary,6,-13.256466474732292,False,,,,,,,,,,,,,,,,,,,,,,,
linear_sensing,ok,optimal,0.0055102079968492035,False,,323.8775951339629,4858163.927009444,0.9999999992478216,3.3571428549937763,1447112.6600355676,106548749946.73888,2.810909298533488e+18,2.810909298533488e+18,2.810908642619151e+18,3.557567654430264e-19,0.08940612888842958,-7.788850969627977,-2.1508694638255275,0.03832766497626603,5.4683462955304475e-05,64,157.6791701367049,106548725164.16185,106548725084.0182,1.0416666666666667e-06,Linear S(P) (known-amp. surrogate),ordinary,6,-13.256466474732292,False,known_amplitude_linear,106548750000.0,0.6,177581250000.0,,,,,,,,,,,,,,,,,,,
exact_fim,ok,optimal,0.00662456700229086,False,,330.0718398245144,4951077.597367716,0.9999999992967966,3.357142855133705,1474789.0724389593,79911575832.82872,2.1081823266931466e+18,2.1081823266931466e+18,2.1081819769326523e+18,4.743422745453807e-19,0.10323729652376876,-12.365055175236426,-8.17042306070488,0.017450323487496425,4.257117741324551e-06,64,115.1426288008961,79911562631.19785,79911562575.00377,1.0416666666666667e-06,Exact unknown-amplitude FIM,ordinary,6,-13.256466474732292,False,unknown_amplitude_exact,,,,2.1081819725736271e+18,79911562409.77301,26381438.54281344,quad_over_lin,1e-12,0.45,4.684848827941393e+18,,,,,,,,,,,,
exact_fim_psl,ok,optimal,0.4445288659990183,False,,330.0363504486297,4950545.256729445,0.9999999996861516,3.357142856246148,1474630.5023983966,79911573599.68805,2.108182267779683e+18,2.108182267779683e+18,2.1081819713555233e+18,4.743422878009453e-19,0.10323729796625945,-12.899738263410619,-8.18587139699043,0.018416672458660185,4.427452344039184e-06,64,106.0004141881551,79911562388.68036,79911562363.60025,1.0416666666666667e-06,Exact FIM + sampled PSL,ordinary,6,-13.256466474732292,True,unknown_amplitude_exact,,,,2.1081819725736271e+18,79911562409.77301,26381438.54281344,quad_over_lin,1e-12,0.45,4.684848827941393e+18,-13.256466474732292,-13.256466513224542,-12.863480274870021,-8.185685166272902,-1.46484375e-06,-0.39298619986227123,249.0,1985.0,-13.256466474732292,0.2173585239870126,249.0,1.0416666666666667e-06
water_filling,ok,ok,0.0,False,,302.4792324870007,4537188.48730501,1.0000000000008078,3.357142857145165,1351502.953664393,75905646492.38089,2.0025001479912689e+18,2.0025001479912689e+18,2.0023364514974564e+18,4.993757433691636e-19,0.10592645272647713,-13.95105462058349,-8.787266013760567,0.01703110674935715,7.328569532227649e-06,63,-2490.9812127545533,75899441504.91728,75899441504.97859,1.0416666666666667e-06,Water-filling (comm. only),ordinary,7,-13.256466474732292,False,,,,,,,,,,,,,,,,,,,,,,,
linear_sensing,ok,optimal,0.0055322439984593075,False,,295.78627503423,4436794.12551345,0.9999999989118257,3.3571428540337878,1321598.2513768824,106548749907.13257,2.810909297488617e+18,2.810909297488617e+18,2.8105654722306744e+18,3.557567655752683e-19,0.0894061289050466,-8.095488426813967,-1.841506039377179,0.040769930514898134,6.314250694445194e-05,64,-3610.10349339931,106535717175.84312,106535717059.9137,1.0416666666666667e-06,Linear S(P) (known-amp. surrogate),ordinary,7,-13.256466474732292,False,known_amplitude_linear,106548750000.0,0.6,177581250000.0,,,,,,,,,,,,,,,,,,,
exact_fim,ok,optimal,0.006616950999159599,False,,302.34950379966915,4535242.556995037,0.9999999995530278,3.357142855865794,1350923.315363479,79917485298.97636,2.108338226911142e+18,2.108338226911142e+18,2.1081819315058952e+18,4.743071994976193e-19,0.1032334795331246,-12.865139064450617,-7.709126197781931,0.01897820736936223,8.213692388624697e-06,64,-2434.0184667367457,79911560888.80084,79911560853.0826,1.0416666666666667e-06,Exact unknown-amplitude FIM,ordinary,7,-13.256466474732292,False,unknown_amplitude_exact,,,,2.1081819725736271e+18,79911562409.77301,26381438.54281344,quad_over_lin,1e-12,0.45,4.684848827941393e+18,,,,,,,,,,,,
exact_fim_psl,ok,optimal,0.454618912001024,False,,302.3493685085513,4535240.52762827,0.9999999997298286,3.357142856370939,1350922.7106679787,79917412819.12314,2.1083363147883484e+18,2.1083363147883484e+18,2.1081819719434214e+18,4.743076296631489e-19,0.10323352634611244,-12.89775845486173,-7.709741933058723,0.019042660472119218,8.227093532669133e-06,64,-2418.766884168602,79911562407.4746,79911562385.88477,1.0416666666666667e-06,Exact FIM + sampled PSL,ordinary,7,-13.256466474732292,True,unknown_amplitude_exact,,,,2.1081819725736271e+18,79911562409.77301,26381438.54281344,quad_over_lin,1e-12,0.45,4.684848827941393e+18,-13.256466474732292,-13.256467073190596,-12.862066990823898,-7.7096173212404135,-1.46484375e-06,-0.3943994839083942,249.0,1985.0,-13.256466474732292,0.2173585239870126,249.0,1.0416666666666667e-06
water_filling,ok,ok,0.0,False,,328.47875112141793,4927181.266821269,0.999999999999613,3.3571428571417514,1467671.015649372,74792153572.57582,1.9731246029595735e+18,1.9731246029595735e+18,1.9695502664238953e+18,5.068103648903153e-19,0.1067120471271481,-13.883289368470466,-8.422131124941014,0.017166589484237695,1.2102726798733119e-05,62,-11639.879477160395,74656666778.36195,74656666778.33305,1.0416666666666667e-06,Water-filling (comm. only),ordinary,8,-13.256466474732292,False,,,,,,,,,,,,,,,,,,,,,,,
linear_sensing,ok,optimal,0.005657937999785645,False,,321.3456612989937,4820184.919484906,0.9999999990926642,3.3571428545504696,1435799.7643595485,106548749929.65387,2.8109092980827617e+18,2.8109092980827617e+18,2.8074880755623726e+18,3.5575676550007163e-19,0.08940612889559767,-8.013852651276673,-1.7597367782392066,0.04240064053664076,6.578586836959773e-05,64,-11387.841781851772,106419067085.88087,106419066989.32304,1.0416666666666667e-06,Linear S(P) (known-amp. surrogate),ordinary,8,-13.256466474732292,False,known_amplitude_linear,106548750000.0,0.6,177581250000.0,,,,,,,,,,,,,,,,,,,
exact_fim,ok,optimal,0.006359440998494392,False,,328.26156360095547,4923923.454014332,0.9999999993926396,3.3571428554075418,1466700.6040815592,80010741828.27786,2.110798468307625e+18,2.110798468307625e+18,2.1081819720964687e+18,4.737543706869231e-19,0.10317330009552787,-12.532656574179535,-7.22274357486616,0.019696864306013667,1.2433949847384388e-05,64,-9958.887319976471,79911562440.22122,79911562391.68611,1.0416666666666667e-06,Exact unknown-amplitude FIM,ordinary,8,-13.256466474732292,False,unknown_amplitude_exact,,,,2.1081819725736271e+18,79911562409.77301,26381438.54281344,quad_over_lin,1e-12,0.45,4.684848827941393e+18,,,,,,,,,,,,
exact_fim_psl,ok,optimal,0.47877967299791635,False,,328.24592558280506,4923688.883742075,0.9999999997209774,3.35714285634565,1466630.7316757017,80001673585.62482,2.1105592350213824e+18,2.1105592350213824e+18,2.108181970884557e+18,4.738080710584126e-19,0.10317914731076362,-12.899414071292616,-7.2504827363259405,0.02031746970771529,1.237601355254796e-05,64,-9492.694027614225,79911562368.0452,79911562345.74806,1.0416666666666667e-06,Exact FIM + sampled PSL,ordinary,8,-13.256466474732292,True,unknown_amplitude_exact,,,,2.1081819725736271e+18,79911562409.77301,26381438.54281344,quad_over_lin,1e-12,0.45,4.684848827941393e+18,-13.256466474732292,-13.256466535954983,-12.863721520316814,-7.250583803034011,-1.46484375e-06,-0.39274495441547863,249.0,1985.0,-13.256466474732292,0.2173585239870126,249.0,1.0416666666666667e-06
water_filling,ok,ok,0.0,False,,327.91069510231284,4918660.426534693,1.0000000000003555,3.357142857143873,1465132.8930098908,79228297974.96057,2.0901564738781327e+18,2.0901564738781327e+18,2.0901424956679442e+18,4.784330802490462e-19,0.1036815085433316,-12.088221521971699,-7.774090974110922,0.016835488807799955,8.38280318839675e-06,63,727.9080907966668,79227768124.74376,79227768124.77193,1.0416666666666667e-06,Water-filling (comm. only),ordinary,9,-13.256466474732292,False,,,,,,,,,,,,,,,,,,,,,,,
linear_sensing,ok,optimal,0.005313277997629484,False,,322.21488452483686,4833223.267872553,0.9999999990871519,3.35714285453472,1439683.5277188136,106548749935.96762,2.810909298249327e+18,2.810909298249327e+18,2.8108477496126797e+18,3.5575676547899064e-19,0.08940612889294872,-7.605512289276929,-2.1825502946939306,0.03760904698601736,5.383804701849803e-05,64,1527.425308200279,106546417005.15831,106546416907.89761,1.0416666666666667e-06,Linear S(P) (known-amp. surrogate),ordinary,9,-13.256466474732292,False,known_amplitude_linear,106548750000.0,0.6,177581250000.0,,,,,,,,,,,,,,,,,,,
exact_fim,ok,optimal,0.006309074000455439,False,,327.9067276267009,4918600.914400513,0.99999999940947,3.357142855455629,1465115.1667279778,79912085934.43579,2.1081957839073441e+18,2.1081957839073441e+18,2.108181994790714e+18,4.743392466835283e-19,0.10323696702670777,-11.929157308977164,-7.616719784861302,0.01713873880563889,8.500256082459162e-06,64,722.967851749395,79911563299.1116,79911563251.92143,1.0416666666666667e-06,Exact unknown-amplitude FIM,ordinary,9,-13.256466474732292,False,unknown_amplitude_exact,,,,2.1081819725736271e+18,79911562409.77301,26381438.54281344,quad_over_lin,1e-12,0.45,4.684848827941393e+18,,,,,,,,,,,,
