subcarrier,frequency_hz,channel_gain,power_uniform_w,power_water_filling_w,power_edge_weighted_w,power_sensing_optimal_w,power_min_power_isac_w,power_max_rate_isac_w,power_dinkelbach_ee_isac_w,power_dinkelbach_ee_rmin_isac_w
20,-172500.0,8.244938835779233e-13,0.015625,0.01619185539153274,0.006055402930402931,0.0,0.007697149319901634,0.011607228739259293,0.005270021651216911,0.0076978227110777436
21,-157500.0,1.1323205320196583e-12,0.015625,0.01629053800720894,0.005048076923076923,0.0,0.007619841645052736,0.011493444015976637,0.005231521660636105,0.007620931012862614
22,-142500.0,3.9011882757619943e-13,0.015625,0.015787678212501235,0.004132326007326007,0.0,0.0069649755088131765,0.010804185959323039,0.004609454177310147,0.0069650047786689
23,-127500.0,8.99720933184789e-13,0.015625,0.016222206183293685,0.003308150183150183,0.0,0.007267086790772844,0.011075908206548525,0.004941300894138469,0.0072665906805672136
24,-112500.0,6.928441346684891e-13,0.015625,0.016122880931195894,0.0025755494505494505,0.0,0.007053270511346761,0.01083586091790512,0.0047538087694012415,0.007052673989745854
25,-97500.0,1.4309611490155172e-12,0.015625,0.016345700376097453,0.0019345238095238096,0.0,0.007178709072828823,0.010938652938282237,0.004901862163672141,0.0071792357911345675
26,-82500.0,3.176914141945978e-13,0.015625,0.015612777392269081,0.0013850732600732601,0.0,0.006364478757334968,0.01010435186940344,0.004106635408504582,0.00636444130344744
27,-67500.0,1.664169548866549e-12,0.015625,0.016375009985744628,0.0009271978021978022,0.0,0.007061324822100434,0.01078441213897453,0.0048180269128874475,0.007060094415485903
28,-52500.0,1.9840826050220263e-13,0.015625,0.015046400997911134,0.0005608974358974359,0.0,0.005680523180547114,0.009389283343477604,0.003449513445420878,0.005679210708676077
29,-37500.0,2.9471078285731135e-13,0.015625,0.015539317259189122,0.0002861721611721612,0.0,0.006133783322593742,0.009833899011863845,0.003913020255538212,0.006132993335891286
30,-22500.0,5.408608041883786e-13,0.015625,0.016001495612775394,0.00010302197802197802,0.0,0.006571224633350855,0.01026459572323564,0.004355607158980047,0.006570113101268937
31,-7500.0,5.53824943704831e-13,0.015625,0.016014448808672567,1.1446886446886447e-05,0.0,0.006570553001175001,0.010262041624997885,0.0043588557236530785,0.006570403824858476
32,7500.0,2.5638343788159987e-14,0.015625,0.004881347546767558,1.1446886446886447e-05,0.0,2.993949661457992e-10,1.3371241038237626e-09,1.3597854454505928e-11,4.647305097295888e-11
