path_loss_db,avg_snr_db,channel,method,label,status,solver_status,solver_name,solve_time_s,error,rate_spectral_efficiency,rate_bps,tx_power_w,system_power_w,energy_efficiency_bit_per_j,sensing_surrogate,delay_fim_per_s2,delay_fim_known_amplitude_per_s2,delay_fim_unknown_amplitude_per_s2,delay_crb_s2,range_rmse_bound_m,psl_db,isl_db,peak_power_w,power_variance_w2,num_active_subcarriers,meets_requirements,max_violation,violated_constraints,slack_power_nonnegative,slack_peak_power,slack_total_power,slack_min_rate,slack_min_sensing,water_level_w,solver_inaccurate,dinkelbach_iterations,dinkelbach_converged,dinkelbach_q_final_bit_per_j,dinkelbach_final_residual_bps,dinkelbach_enforces_min_rate,water_filling_capacity_se
100.0,37.17728766960431,6,uniform,Uniform,ok,closed_form,numpy,1.4799998098169453e-06,,699.632633136548,10494489.49704822,1.0,3.357142857142857,3126018.1480569164,76781250000.0,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,4.936809265680052e-19,0.10532073506634214,-13.256466474732292,-9.684463547443015,0.015625,0.0,64,False,29767500000.0,min_sensing,0.015625,0.046875,0.0,69.9628052300261,-29767500000.0,,,,,,,,699.6331421183576
100.0,37.17728766960431,6,water_filling,Water-filling (comm. only),ok,closed_form,numpy,0.00014751900016563013,,699.6331421183576,10494497.131775364,0.99999999999987,3.357142857142486,3126020.4222313054,76797390299.2128,2.0260256324271393e+18,2.0260256324271393e+18,2.0260251732835674e+18,4.935771709867359e-19,0.10530966699816745,-13.240986011767395,-9.677869741707287,0.01564597678579638,2.726571457848336e-09,64,False,29751359700.7872,min_sensing,0.015322754205169514,0.04685402321420362,1.3000711618360583e-13,69.96331421183572,-29751359700.7872,0.015646955731030074,,,,,,,699.6331421183576
100.0,37.17728766960431,6,max_rate_isac,Max-rate ISAC,ok,optimal,CLARABEL,0.005978886999855604,,692.1444372940874,10382166.559411312,0.9999999998999427,3.357142856856979,3092560.252002887,106548750022.2172,2.810909300524715e+18,2.810909300524715e+18,2.810908851043195e+18,3.55756765191011e-19,0.08940612885676226,-7.914674663063936,-2.23340949211703,0.03940767742666216,5.2569083256698076e-05,64,True,0.0,,0.00977294638299839,0.02309232257333784,1.0005729578210776e-10,62.47460938756558,22.217193603515625,,False,,,,,,699.6331421183576
100.0,37.17728766960431,6,dinkelbach_ee_isac,Dinkelbach EE-ISAC,ok,optimal,CLARABEL,0.019144047999361646,,583.2775217221069,8749162.825831603,0.6305303289182893,2.3015152254808267,3801479.44665617,106548750000.14758,2.810909299942487e+18,2.810909299942487e+18,2.810908442148687e+18,3.5575676526469944e-19,0.08940612886602169,-2.2483521291290796,6.63812055287675,0.06249999985497748,0.0003064380897131022,64,False,46.392306184414906,min_rate,0.0016687877379382874,1.4502252176917807e-10,0.3694696710817107,-46.392306184414906,0.1475830078125,,False,5.0,True,3801479.446783852,-0.00029386207461357117,False,699.6331421183576
100.0,37.17728766960431,7,uniform,Uniform,ok,closed_form,numpy,1.431000328011578e-06,,723.8835537366504,10858253.306049755,1.0,3.357142857142857,3234373.32520631,76781250000.0,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,4.936809265680052e-19,0.10532073506634214,-13.256466474732292,-9.684463547443015,0.015625,0.0,64,False,29767500000.0,min_sensing,0.015625,0.046875,0.0,72.38354154921421,-29767500000.0,,,,,,,,723.8889024304846
100.0,37.17728766960431,7,water_filling,Water-filling (comm. only),ok,closed_form,numpy,0.00015413900018756976,,723.8889024304846,10858333.536457269,1.0000000000005815,3.357142857144519,3234397.223623968,76778235664.74863,2.0255203056152123e+18,2.0255203056152123e+18,2.0255168594040883e+18,4.937003086208358e-19,0.1053228025069763,-13.29212951812268,-9.683263790594763,0.015658514303684257,2.999147920829179e-08,64,False,29770514335.251373,min_sensing,0.014261934523722698,0.04684148569631574,-5.81534820298657e-13,72.38889024304842,-29770514335.251373,0.01565921236119954,,,,,,,723.8889024304846
100.0,37.17728766960431,7,max_rate_isac,Max-rate ISAC,ok,optimal,CLARABEL,0.006391241000073933,,716.4021720994757,10746032.581492135,0.9999999999156974,3.357142856901993,3200945.8755677403,106548750020.40643,2.8109093004769444e+18,2.8109093004769444e+18,2.8109058273072374e+18,3.55756765197057e-19,0.08940612885752199,-7.932991921923302,-2.227840754163573,0.039438450261779855,5.271440805377843e-05,64,True,0.0,,0.010094830710336762,0.023061549738220145,8.430256492886201e-11,64.90215991203956,20.40643310546875,,False,,,,,,723.8889024304846
100.0,37.17728766960431,7,dinkelbach_ee_isac,Dinkelbach EE-ISAC,ok,optimal,CLARABEL,0.0194181550009489,,604.7829158652055,9071743.737978082,0.6265230296217673,2.2900657989193354,3961346.325620412,106548750001.02257,2.81090929996557e+18,2.81090929996557e+18,2.8109040285360456e+18,3.55756765261778e-19,0.08940612886565459,-2.174334740236346,6.703001867765462,0.062499999822724486,0.000308949567981523,64,False,46.717096322230645,min_rate,0.0018692674719876837,1.7727551371304884e-10,0.3734769703782327,-46.717096322230645,1.0225677490234375,,False,5.0,True,3961346.326423886,-0.0018400084227323532,False,723.8889024304846
100.0,37.17728766960431,8,uniform,Uniform,ok,closed_form,numpy,1.5729997357993852e-06,,739.6264586922332,11094396.880383497,1.0,3.357142857142857,3304713.964369552,76781250000.0,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,4.936809265680052e-19,0.10532073506634214,-13.256466474732292,-9.684463547443015,0.015625,0.0,64,False,29767500000.0,min_sensing,0.015625,0.046875,0.0,73.96245110372001,-29767500000.0,,,,,,,,739.626675098348
100.0,37.17728766960431,8,water_filling,Water-filling (comm. only),ok,closed_form,numpy,0.0001370820000374806,,739.626675098348,11094400.126475219,0.9999999999997471,3.3571428571421347,3304714.931291202,76797164956.71307,2.0260196875678318e+18,2.0260196875678318e+18,2.0260195324692227e+18,4.935786192682393e-19,0.10530982150078619,-13.256142426036659,-9.6793612901273,0.01563892779326892,1.1546476114674834e-09,64,False,29751585043.286926,min_sensing,0.015404089030774415,0.04686107220673108,2.5290880500961066e-13,73.96266750983477,-29751585043.286926,0.015639442313898157,,,,,,,739.626675098348
