path_loss_db,avg_snr_db,method,rate_bps,rate_se,tx_power_w,ee_bit_per_j,delay_crb_s2,range_rmse_m,psl_db,count
140.0,-2.8227123303956914,dinkelbach_ee_isac,627542.2127862794,41.83614751908529,0.9240729985220622,199569.68529614102,3.557567048969812e-19,0.08940612128043356,-6.1698970390064165,20
140.0,-2.8227123303956914,max_rate_isac,666706.1137760042,44.44707425173361,1.000000001555954,198593.31026610965,3.557567666536675e-19,0.08940612904055421,-7.23121983495521,20
140.0,-2.8227123303956914,uniform,519842.15256979567,34.656143504653045,1.0,154846.5986378115,4.936809265680052e-19,0.10532073506634214,-13.256466474732292,20
140.0,-2.8227123303956914,water_filling,683952.6085600425,45.5968405706695,0.9999999999999026,203730.56425194573,4.824204978187854e-19,0.10395953430267404,-9.962683947801212,20
145.0,-7.822712330395691,dinkelbach_ee_isac,300443.60421465075,20.029573614310053,0.9679381774728121,92097.77149595668,3.5575676527508887e-19,0.08940612886732718,-5.8774165981646345,20
145.0,-7.822712330395691,max_rate_isac,308535.36661331804,20.569024440887866,0.9999999997302773,91904.15177861735,3.557567653125878e-19,0.08940612887203916,-6.3582208227056665,20
145.0,-7.822712330395691,uniform,194096.34949459202,12.939756632972802,1.0,57815.933892006135,4.936809265680052e-19,0.10532073506634214,-13.256466474732292,20
145.0,-7.822712330395691,water_filling,321675.1743057324,21.44501162038216,1.0000000000000742,95818.1370272341,5.061856324256768e-19,0.10628843776223298,-7.796103723401553,20
150.0,-12.822712330395692,dinkelbach_ee_isac,125981.29380525966,8.398752920350644,0.9712479126560606,38496.56459692112,3.5575676526437155e-19,0.08940612886598047,-6.021576736645884,20
150.0,-12.822712330395692,max_rate_isac,128864.90680140718,8.59099378676048,0.9999999999329263,38385.29138986902,3.557567652362294e-19,0.08940612886244424,-6.314011934906192,20
150.0,-12.822712330395692,uniform,67581.90772273838,4.505460514849226,1.0,20130.781023794414,4.936809265680052e-19,0.10532073506634214,-13.256466474732292,20
150.0,-12.822712330395692,water_filling,134990.5648680976,8.999370991206508,0.999999999999913,40209.955492628345,5.095944354835721e-19,0.10668056251438174,-6.7668523194156665,20
