sensing_fraction,gamma_s,status,solver_status,solver_name,solve_time_s,meets_constraints,max_violation,rate_spectral_efficiency,rate_bps,tx_power_w,system_power_w,energy_efficiency_bit_per_j,sensing_surrogate,delay_fim_per_s2,delay_fim_known_amplitude_per_s2,delay_fim_unknown_amplitude_per_s2,delay_crb_s2,range_rmse_bound_m,psl_db,isl_db,peak_power_w,power_variance_w2,num_active_subcarriers,rate_loss_vs_wf_percent
0.49950000000000006,88701834375.00002,ok,optimal,CLARABEL,0.004913211000257434,True,18.634872436523438,326.38827303635895,4895824.095545384,0.9999999994203467,3.357142855486705,1458330.582371243,88701834356.36514,2.3400819917072645e+18,2.3400819917072645e+18,2.3397288384864384e+18,4.2733545386177917e-19,0.09798851364013571,-10.07026883488133,-6.017320115948841,0.022767536652722443,1.0019100117053325e-05,64,0.3969155793016821
0.5411250000000001,96093653906.25002,ok,optimal,CLARABEL,0.005141862000073161,True,41.69355773925781,324.5256679663424,4867885.019495136,0.9999999992771773,3.3571428550776496,1450008.3045714013,96093653864.55646,2.5350888237821834e+18,2.5350888237821834e+18,2.534735805506073e+18,3.944634959606925e-19,0.09414431871033192,-8.91976188038591,-4.37151803486391,0.027819463207799978,2.209282911616308e-05,64,0.9653220612668378
0.58275,103485473437.5,ok,optimal,CLARABEL,0.0050582379999468685,True,60.06706237792969,321.9279298900639,4828918.9483509585,0.9999999991918427,3.3571428548338362,1438401.3898598214,103485473377.43294,2.730095655980704e+18,2.730095655980704e+18,2.7297425768216146e+18,3.6628753201718143e-19,0.09071973549167371,-7.9623209842192155,-2.8593981728873406,0.03508462419591845,4.135527091757757e-05,64,1.7580672248947105
0.624375,110877292968.75,ok,optimal,CLARABEL,0.004840866999984428,True,106.04818725585938,318.62438468481133,4779365.77027217,0.9999999987894395,3.357142853684113,1423640.8692073727,110877292862.70181,2.925102487450895e+18,2.925102487450895e+18,2.9247469646610186e+18,3.418683633445809e-19,0.08764359103811044,-7.130096201109676,-1.4255751980484361,0.044256124788279005,6.9965474191638e-05,64,2.7662017663269367
0.666,118269112500.0,ok,optimal,CLARABEL,0.004933759999858012,True,147.1523895263672,314.6343760966256,4719515.641449384,0.9999999985071997,3.3571428528777134,1405813.1715794748,118269112352.84761,3.1201093190497475e+18,3.1201093190497475e+18,3.1197531595385134e+18,3.2050159072777535e-19,0.084860542135314,-6.415319080501174,-0.025355906986444868,0.05573407353847472,0.00011149622789619469,64,3.9838226034705104
0.7076250000000001,125660932031.25002,ok,optimal,CLARABEL,0.0051393649996498425,True,110.69113159179688,309.9396355000797,4649094.532501196,0.9999999989911676,3.3571428542604793,1384836.6704446692,125660931920.55888,3.3151161526948874e+18,3.3151161526948874e+18,3.314974933530332e+18,3.016485558694802e-19,0.08232681849588529,-5.701227545509349,1.203124969758883,0.06249999706007343,0.0001624049057899393,64,5.416504726577765
0.7492500000000001,133052751562.50002,ok,optimal,CLARABEL,0.005344675999822357,True,198.72515869140625,304.3115767649616,4564673.651474425,0.9999999983491559,3.35714285242616,1359690.0257537742,133052751363.77486,3.510122983055663e+18,3.510122983055663e+18,3.510102571973481e+18,2.848903029401754e-19,0.0800072864087052,-4.939309672853663,2.233817446778424,0.062499998599206595,0.00021971186328202476,64,7.134005187313274
0.790875,140444571093.75,ok,optimal,CLARABEL,0.00517163700033052,True,290.35162353515625,297.40101934739295,4461015.290210894,0.9999999977856429,3.3571428508161225,1328813.0676734296,140444570803.39838,3.705129813321665e+18,3.705129813321665e+18,3.705111729881409e+18,2.6989607662450443e-19,0.07787337423455823,-4.162279832397705,3.081182656921526,0.06249999904065667,0.00028140567031683414,64,9.242882529789053
0.8325,147836390625.0,ok,optimal,CLARABEL,0.004805406999821571,True,315.0876159667969,288.5433595943776,4328150.3939156635,0.9999999977816811,3.3571428508048036,1289236.2899833356,147836390309.91238,3.9001366453523343e+18,3.9001366453523343e+18,3.900118902892231e+18,2.564012728096764e-19,0.07590157636248542,-3.3749575600150816,3.749091603988464,0.06249999943868692,0.00034435997564815604,64,11.945952171176355
0.874125,155228210156.25,ok,optimal,CLARABEL,0.005108571999699052,True,366.714599609375,276.6586253284529,4149879.3799267933,0.9999999976024532,3.3571428502927234,1236134.2859047384,155228209789.5354,4.0951434766735795e+18,4.0951434766735795e+18,4.0951415091197056e+18,2.4419168844659975e-19,0.0740723539176171,-2.5772489532811176,4.337050710263978,0.062499999616463665,0.00041533010851634976,64,15.57278649152154
0.9157500000000001,162620029687.5,ok,optimal,CLARABEL,0.004816167000171845,True,410.1100158691406,259.3168668051356,3889753.0020770337,0.9999999974932228,3.3571428499806366,1158649.8328778201,162620029277.38998,4.2901503082119854e+18,4.2901503082119854e+18,4.2901502945813765e+18,2.330920662816525e-19,0.07236931354052986,-1.7863583315951523,4.8493601898098255,0.06249999973278522,0.0004948382182113608,64,20.864927113280096
0.9573750000000001,170011849218.75003,ok,optimal,CLARABEL,0.004958082000030117,True,430.31280517578125,229.69999666263772,3445499.9499395657,0.999999997564794,3.357142850185126,1026319.136151614,170011848788.43723,4.485157140362248e+18,4.485157140362248e+18,4.485156438764921e+18,2.229576286192804e-19,0.07077858492518382,-1.0192226307725378,5.3111715526915395,0.062499999820738485,0.0005863955838265416,63,29.903032525699313
0.999,177403668750.0,ok,optimal,CLARABEL,0.005085022000002937,True,202.0465087890625,126.73029439489048,1900954.4159233572,0.9999999990223856,3.3571428543496733,566241.7413844605,177403668547.9535,4.68016397906748e+18,4.68016397906748e+18,4.680162413393746e+18,2.136677271293493e-19,0.0692883425055088,-0.30153605783896453,5.8926840752111325,0.06249999994950232,0.0007194439744107933,45,61.32603633750014
