subcarrier,gamma_frac_0.0000,gamma_frac_0.0416,gamma_frac_0.0833,gamma_frac_0.1249,gamma_frac_0.1665,gamma_frac_0.2081,gamma_frac_0.2498,gamma_frac_0.2914,gamma_frac_0.3330,gamma_frac_0.3746,gamma_frac_0.4163,gamma_frac_0.4579,gamma_frac_0.4995,gamma_frac_0.5411,gamma_frac_0.5827,gamma_frac_0.6244,gamma_frac_0.6660,gamma_frac_0.7076,gamma_frac_0.7493,gamma_frac_0.7909,gamma_frac_0.8325,gamma_frac_0.8741,gamma_frac_0.9158,gamma_frac_0.9574,gamma_frac_0.9990
10,0.01639327683336829,0.016393433865614766,0.01639296714869197,0.016393420277678237,0.016393507171963632,0.016394390953550914,0.016393525892686535,0.016393439981929662,0.016393406901672312,0.01639346309765668,0.01639371261539406,0.016772594515399822,0.016995780280296857,0.016887271938011046,0.01648594519207759,0.015847717367229293,0.015044108837234074,0.014151949369928916,0.013162594725263937,0.012072851244092768,0.010847648076851601,0.00941630597757314,0.00766626589674182,0.005326442592820438,0.0005499530575556782
11,0.01621186439839145,0.016211866895647496,0.016211222412775724,0.01621183093253025,0.016211761935637645,0.016211303698730962,0.01621226449718684,0.016211871395393023,0.01621122984022543,0.016211954462272693,0.016212876957818704,0.01642741258415128,0.016437586603328117,0.016148077769190305,0.015610697709851176,0.014879417565427615,0.014024036794598507,0.013096119921752128,0.012076746203499227,0.01095033621941151,0.009681870961995598,0.008219805315784028,0.006466927952452629,0.004231106087034986,0.0002039084901773307
12,0.016452988183861664,0.016452419556919774,0.01645242260524659,0.0164524648942126,0.016454078460431006,0.01645212465628519,0.016452192622663578,0.016452434916249748,0.01645254633958879,0.01645232118678958,0.016452833444730364,0.01651618566860699,0.016334113346914807,0.015890264251037484,0.015240668438853248,0.014437290891901036,0.013548148999523427,0.012597829826487794,0.011562526961949038,0.010420871566928953,0.009136453906171804,0.007673773300565909,0.005957060265328437,0.0038452741535848064,0.00034571238871360793
13,0.015905953469731518,0.015905841640136788,0.015905634769094557,0.015905721219680924,0.01590572193810624,0.015905841105939417,0.015906191872907,0.015905689746530966,0.01590567947968665,0.015905691432792513,0.015905787563144837,0.01582720198453824,0.015473531301465445,0.014897672479721224,0.014155663087653026,0.013297373463054395,0.01238395880427545,0.011420451448992288,0.010380565196939862,0.00923473649874409,0.007948940026504073,0.0065041498400562,0.004837168300763945,0.0028440327995729016,4.95640886500031e-12
14,0.01616937585670621,0.016169827697664098,0.016169947365559007,0.016169917903272397,0.016170154072592292,0.016169351513672544,0.01616877869025482,0.01617006001412515,0.016169596729075753,0.01616983677691604,0.016170466353193472,0.015959953183242705,0.015451064395798148,0.014762012483266569,0.01394409231501069,0.013040630301129716,0.012111668651159653,0.011143123573130931,0.010103338768003633,0.00895871708344025,0.00768339438618567,0.006265175094997007,0.004649042873950422,0.002764911410398001,3.257018309014021e-11
15,0.01642435919990585,0.016423156051840446,0.016423229447885827,0.016423180766315538,0.016423512044278544,0.016423950164951084,0.01642330837598236,0.016423227190119866,0.016422635911143537,0.01642279789253691,0.01642276272188469,0.016090760663285162,0.015443017556344299,0.014655078087944733,0.013776215987844122,0.0128397086881001,0.01189848224449068,0.010927398176637437,0.00989115928972614,0.00875520569763167,0.007492905664185294,0.006101498621715251,0.0045390580658571,0.0027507238155742276,0.0001696386939505246
16,0.01475010523767234,0.014750587962214616,0.01475099736984941,0.01475061280691961,0.014750669490629215,0.014750720549914042,0.014750349765502772,0.014750570616231825,0.014750908019112876,0.014750823047668426,0.014750596589420064,0.014303631388320661,0.013532032989277697,0.012659110358586152,0.011727129224807115,0.010765685065804281,0.009817442956073603,0.008846256372938201,0.00781639416201141,0.006690084881807629,0.005446034561803845,0.004083061360964208,0.0025693818795515713,0.0008647182081320417,0.0
17,0.015361119450555762,0.015360027438002613,0.015360356433741677,0.015360093270218218,0.015359975876602115,0.015360093253318226,0.015359653172782723,0.015359975574727,0.015359014352093026,0.015359640800460317,0.015359708194385062,0.014807751896856989,0.013924732204193584,0.012977827397054083,0.012002432884829915,0.01102029098799785,0.010068343895073219,0.009099944194880631,0.008078683694969795,0.006962368778103996,0.00573532633912773,0.0044010530332960485,0.0029325065238047106,0.0013008389203949576,0.0
18,0.014636203694079844,0.014636293320402201,0.014636507437872781,0.014636301700701324,0.014636172471137552,0.014635851521254125,0.014636446853105046,0.01463621494405671,0.014636928389732705,0.014636137799326713,0.01463669870447502,0.013986644841576848,0.013004042531685923,0.011994518707817954,0.010981874658763893,0.009983422474377036,0.009028736454893894,0.008065502997590887,0.007051916052203088,0.0059473680055814335,0.004736480745857731,0.0034300883565902213,0.0020023677297753544,0.00043471213378221216,0.0
19,0.0162915119462043,0.01629201819516547,0.01629230320360263,0.016292046122157067,0.016291763526126005,0.016292064604366115,0.01629190307040156,0.016292189432461916,0.01629243555129596,0.01629192971879836,0.016291220328882784,0.015552662697398467,0.01448148261365892,0.013415401993981101,0.012373627580536244,0.01136156000670199,0.010406769671748998,0.009447264825512575,0.00844275687452236,0.007350554273873253,0.006155428781236242,0.004875069382395672,0.003484971056102703,0.001971676309131141,1.6212888462924923e-11
20,0.01619180700609313,0.01619185724235518,0.01619197765577199,0.016191782782666204,0.01619185921157779,0.016191800725294685,0.016191992340515174,0.016191874306107613,0.01619183897565594,0.016192272761624875,0.016191138610472795,0.015371763131641162,0.014220643762604967,0.013107039450094416,0.012038771336065734,0.011017630500926506,0.010062911880355846,0.009108382838055514,0.008111493261001568,0.007031576810672769,0.005853396749860258,0.004594727491457406,0.003237715484231647,0.0017722197836601307,1.3026385125557813e-12
21,0.01629082636354953,0.016290539105174723,0.01629016607765873,0.016290534594081273,0.016290297584310286,0.016289507127130988,0.016290930086270382,0.016290135769277167,0.016291631537170063,0.01629031621339909,0.01628958434266402,0.015395420936325458,0.014174513536903887,0.013020180774317519,0.011929967542799404,0.010901109405061012,0.009946736753339106,0.008998188284988268,0.00801069721289898,0.006940425905646194,0.005776185986407773,0.004538341589985404,0.0032112854137454384,0.0017874170298800918,7.072137761141313e-12
22,0.0157883812155468,0.015787664473750077,0.015787631051613873,0.01578770893336932,0.015787489239457376,0.01578677898972117,0.01578745928569186,0.015787620019127133,0.015788991386727402,0.015788093218985853,0.015787579288869556,0.014827149414277303,0.013543245358271547,0.012352921055903396,0.01124456709473188,0.01020962053095046,0.009258038781904279,0.008312738983558521,0.00733275258860296,0.006273313580793223,0.005122863792678056,0.0039034225942438973,0.002601605902231651,0.0012139746584438665,0.0
23,0.016221524223875062,0.01622220161058694,0.01622282558726551,0.016222194299695666,0.016220594849788224,0.0162212598013352,0.01622334637792697,0.016222213170247364,0.01622271037643671,0.01622204631132406,0.01622189432034078,0.01520184215294419,0.013863165070915643,0.012642336037930533,0.011519199502176614,0.010479321816916005,0.00952988059541081,0.008589985173407701,0.007616026819938484,0.006564861360651762,0.005427719909960351,0.004224860739102052,0.002946164129451926,0.0015891828150046041,4.705407653423038e-13
