method,metric,count,mean,median,std,ci95_low,ci95_high,p05,p25,p75,p95,max,min,rate
exact_efim_sampled_psl,rate_mbps,25,4.715427687867824,4.626756446826839,1.2850490552257567,4.184985508527446,5.245869867208202,2.5684855273715512,3.9847305401035733,5.852162543950064,6.480014674363416,6.618205900277446,1.8880691120767439,
exact_efim_sampled_psl,tx_power_w,25,0.9999999995072865,0.9999999994873373,1.1250667724196396e-10,0.999999999460846,0.999999999553727,0.9999999993931569,0.9999999994335599,0.9999999995490485,0.9999999997402733,0.999999999841038,0.9999999993726731,
exact_efim_sampled_psl,ee_mbit_per_j,25,1.4045954820796305,1.3781827719965416,0.3827805697894046,1.246591428598129,1.562599535561132,0.765080795679965,1.1869410121063224,1.7431973542563997,1.9302171378513278,1.971380481580593,0.5624035655152997,
exact_efim_sampled_psl,independently_evaluated_unknown_fim,25,2.342424410100398e+18,2.342424410136827e+18,2424842062.7194853,2.3424244090994724e+18,2.342424411101324e+18,2.342424407327959e+18,2.342424409244462e+18,2.342424410847193e+18,2.3424244125216113e+18,2.3424244171606175e+18,2.3424244027720924e+18,
exact_efim_sampled_psl,delay_fim_known_amplitude_per_s2,25,2.3439756594582656e+18,2.342459247965073e+18,4008201000198801.5,2.34232115540246e+18,2.345630163514071e+18,2.3424244253588024e+18,2.342428694281122e+18,2.3437898155424804e+18,2.347388272424277e+18,2.3620749920806344e+18,2.342424414944586e+18,
exact_efim_sampled_psl,range_rmse_bound_m,25,0.09790719608121122,0.09793877895670489,8.330103397699524e-05,0.09787281110436977,0.09794158105805267,0.0978359036596934,0.09791097512740048,0.09793941769135417,0.09793950693555158,0.09793950715326685,0.0975312670889156,
exact_efim_sampled_psl,centroid_magnitude_hz,25,4488.039797626218,1149.147314702558,6345.789792038765,1868.6265127896968,7107.45308246274,19.001730236827512,402.90477296501393,7194.186192914549,13666.243341109699,27292.196750376344,11.036291501198397,
exact_efim_sampled_psl,dense_psl_db,25,-13.024360053520425,-13.02341095363873,0.0171148367988839,-13.031424710930768,-13.017295396110082,-13.04539187215298,-13.02444878461774,-13.023371411958852,-13.008245437621277,-12.96604923109367,-13.074583821327595,
exact_efim_sampled_psl,fim_mismatch_percent,25,0.0659015673959672,0.0014872289888572458,0.16977365948368622,-0.004177554926173999,0.1359806897181084,5.792098447786351e-07,0.00018282556242892563,0.05825633480415012,0.21145173955099633,0.8319204082690997,1.371763406963983e-07,
exact_efim_sampled_psl,solve_time_s,25,0.48267923387975314,0.48506655100209173,0.019405456376908995,0.4746690551789456,0.4906894125805607,0.4538624236018222,0.46515169099802733,0.4957675859986921,0.5136397287998988,0.5271368819994677,0.45214627599852975,
