asymmetry,method,metric,count,mean,median,std,ci95_low,ci95_high,p05,p25,p75,p95,max,min
1.0,conventional_s2,centroid_magnitude_hz,8,7449.384894331628,5690.648472536026,5579.38753872166,2784.9001820802196,12113.869606583037,3106.4451701895127,4186.861129004292,8108.101842538364,16484.931163788053,20028.17581327885,3056.7422189405347
1.0,conventional_s2,rate_spectral_efficiency,8,311.64948804009646,307.92567868681317,7.354865610859852,305.5006665136427,317.7983095665502,305.88175746075814,307.07740913090527,314.2319205745768,323.7016185530557,325.5377145010465,305.614442782154
1.0,conventional_s2,ee_mbit_per_j,8,1.3924764367237714,1.3758381394530041,0.03286216547180064,1.3650029788592886,1.4199498945882543,1.3667057257648456,1.3720479991354408,1.4040149650724514,1.4463263815541412,1.4545302145902577,1.3655113410123498
1.0,conventional_s2,dense_psl_db,8,-10.476037894792395,-10.483665729715261,0.18325927278393045,-10.629246480922406,-10.322829308662383,-10.70080380198836,-10.610887213930763,-10.34956809179999,-10.231648189337427,-10.171271680123867,-10.734812827158372
1.0,conventional_s2,independently_evaluated_unknown_fim,8,2.3402418320932055e+18,2.341550353238393e+18,3482066122839589.0,2.3373307519640136e+18,2.3431529122223974e+18,2.3346400790354877e+18,2.3406616809656013e+18,2.3419533661032904e+18,2.3421697117261614e+18,2.3421779141837916e+18,2.331842084365985e+18
1.0,conventional_s2,physical_sensing_feasibility_rate,8,0.0,,,0.0,0.0,,,,,,
1.0,conventional_s2,false_sensing_feasibility_rate,8,1.0,,,1.0,1.0,,,,,,
1.0,exact_efim,fim_mismatch_percent,8,0.04056534389875132,0.017399274239673412,0.06468153423187316,-0.013509771962202995,0.09464045975970564,0.004831958088786599,0.009137526269071782,0.029777804233752543,0.1451843029131715,0.19645982465653056,0.004754462790163407
1.0,exact_efim,centroid_magnitude_hz,8,4922.078549780308,3877.955866877828,3678.286232206894,1846.9543039128225,7997.202795647794,2071.2373565638654,2818.3339923629637,5058.900991079206,10924.970543635098,13220.487162029083,2054.681955994209
1.0,exact_efim,rate_spectral_efficiency,8,311.6391553262649,307.9211854641802,7.360300894067127,305.48578978933494,317.7925208631949,305.87570626059227,307.0371686047706,314.227662908298,323.6994609025981,325.53511151372436,305.61162120159463
1.0,exact_efim,ee_mbit_per_j,8,1.3924302693106423,1.375818063378674,0.03288645086137815,1.3649365083523828,1.4199240302689018,1.3666786884702746,1.3718682009849497,1.403995941458775,1.446316741163426,1.4545185843839754,1.365498733913767
1.0,exact_efim,dense_psl_db,8,-10.470108039093546,-10.479878938384623,0.1862694228435386,-10.625833173650635,-10.314382904536457,-10.69839893411859,-10.610011619873148,-10.333883615745028,-10.224095326026772,-10.16875786556177,-10.732362503950593
1.0,exact_efim,independently_evaluated_unknown_fim,8,2.3424244101570406e+18,2.3424244099127076e+18,871651296.0092473,2.342424409428322e+18,2.3424244108857595e+18,2.3424244092492283e+18,2.3424244097854275e+18,2.3424244104425836e+18,2.3424244114768015e+18,2.3424244120027704e+18,2.3424244090725043e+18
1.0,exact_efim,physical_sensing_feasibility_rate,8,1.0,,,1.0,1.0,,,,,,
1.0,exact_efim,false_sensing_feasibility_rate,8,0.0,,,0.0,0.0,,,,,,
1.5,uniform,fim_mismatch_percent,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,uniform,centroid_magnitude_hz,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,uniform,rate_spectral_efficiency,8,321.38612911195287,322.63234418971285,6.912204746119239,315.607381329609,327.16487689429675,311.37017309004113,320.1652904914368,323.3527144367516,329.047705761918,331.7058100549723,306.87580139052744
1.5,uniform,ee_mbit_per_j,8,1.4359805768831935,1.441548771911483,0.03088431907840509,1.4101606399833593,1.4618005137830277,1.391228432955503,1.4305257660255688,1.4447674474833583,1.4702131534043146,1.4820897896073228,1.3711471977023566
1.5,uniform,dense_psl_db,8,-13.256466474732292,-13.256466474732292,0.0,-13.256466474732292,-13.256466474732292,-13.256466474732292,-13.256466474732292,-13.256466474732292,-13.256466474732292,-13.256466474732292,-13.256466474732292
1.5,uniform,independently_evaluated_unknown_fim,8,2.0255998281153943e+18,2.0255998281153943e+18,0.0,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18
1.5,uniform,physical_sensing_feasibility_rate,8,0.0,,,0.0,0.0,,,,,,
1.5,uniform,false_sensing_feasibility_rate,8,0.0,,,0.0,0.0,,,,,,
1.5,water_filling,fim_mismatch_percent,8,0.10997182211496284,0.06849418251183116,0.07711108543030919,0.04550534140564837,0.1744383028242773,0.04354401871022018,0.05641169563373831,0.16619915344384797,0.22576477757382954,0.23916300927258657,0.04222602587092487
1.5,water_filling,centroid_magnitude_hz,8,8653.445420558239,7247.564261095427,3031.982051089489,6118.644991841662,11188.245849274816,5768.134938135676,6514.267773631496,11078.881365307567,13028.91617626133,13363.245415521447,5658.572340158081
