method,metric,count,mean,median,std,ci95_low,ci95_high,p05,p25,p75,p95,max,min,rate
conventional_s2,range_rmse_bound_m,60,0.09784604162305326,0.09793950719419836,0.0005740016102408339,0.09769776128378561,0.0979943219623209,0.09793950715848809,0.09793950717402129,0.09793950722551448,0.09793950733397602,0.09793950736106927,0.09367971119829133,
conventional_s2,centroid_magnitude_hz,60,16211.72173107839,3701.916781560404,29878.04541282809,8493.40416641276,23930.03929574402,134.96656575875377,640.69463531609,14707.24174276543,103417.05473377918,113989.09409348074,128.91468866095477,
conventional_s2,dense_psl_db,60,-10.332140571765088,-10.52309434849639,0.8348808822575247,-10.547813173131612,-10.116467970398563,-10.877134165932315,-10.543988900533488,-10.406559608917966,-9.17672307055677,-6.15349306466821,-12.5641208046408,
conventional_s2,fim_mismatch_percent,60,1.2846134388387216,0.015434692965302987,3.5432245837178074,0.369301471064467,2.199925406612976,2.050318405280915e-05,0.00046235346954300776,0.24387182218623982,12.045336936522872,14.63388008173621,1.7587860171022117e-05,
conventional_s2,solve_time_s,60,0.007604554766779377,0.007605963501191582,0.00034820634883507074,0.00751460352863085,0.007694506004927905,0.007104344998333545,0.0073980070010293275,0.007833370001208095,0.00810471884906292,0.00874032099818578,0.006768887000362156,
conventional_s2,physical_sensing_feasibility_rate,60,0.15,,,0.05698024912215975,0.24301975087784022,,,,,,,0.15
conventional_s2,dense_psl_feasibility_rate,60,0.0,,,0.0,0.0,,,,,,,0.0
conventional_s2,false_sensing_feasibility_rate,60,0.85,,,0.7569802491221598,0.9430197508778402,,,,,,,0.85
conventional_s2_psl,rate_spectral_efficiency,60,307.40459979027065,299.2262477177357,91.05765369590986,283.88191354331053,330.9272860372308,172.46694615192595,229.9375195023279,388.8224176092627,438.2158868200929,486.1823816370555,134.35431768989787,
conventional_s2_psl,rate_mbps,60,4.61106899685406,4.488393715766035,1.3658648054386482,4.258228703149658,4.963909290558462,2.5870041922788896,3.449062792534918,5.832336264138941,6.5732383023013945,7.2927357245558335,2.0153147653484678,
conventional_s2_psl,tx_power_w,60,0.9999999995691573,0.9999999995658817,1.023175215543571e-10,0.9999999995427259,0.9999999995955887,0.99999999942797,0.9999999994908378,0.9999999996224929,0.9999999997234351,0.9999999998557153,0.9999999994219609,
conventional_s2_psl,system_power_w,60,3.3571428559118783,3.357142855902519,2.9233577640761784e-10,3.35714285583636,3.3571428559873966,3.3571428555084855,3.3571428556881084,3.3571428560642653,3.357142856352672,3.3571428567306154,3.357142855491317,
conventional_s2_psl,ee_mbit_per_j,60,1.3735099144583027,1.336968341402374,0.40685334643152415,1.2684085503423899,1.4786112785742156,0.7705969936321293,1.027380406771576,1.737291653796016,1.9579858779751185,2.1723042589531167,0.6003065260245665,
conventional_s2_psl,delay_fim_known_amplitude_per_s2,60,2.342424413113373e+18,2.342424413121771e+18,269176944.9878011,2.3424244130438374e+18,2.342424413182909e+18,2.3424244127411333e+18,2.342424412868667e+18,2.3424244132980193e+18,2.342424413624176e+18,2.34242441370789e+18,2.342424412619717e+18,
conventional_s2_psl,independently_evaluated_unknown_fim,60,2.3202561768576435e+18,2.342037757499905e+18,5.756957307581086e+16,2.3053843791572974e+18,2.3351279745579894e+18,2.1623369471318794e+18,2.336541678241467e+18,2.342409248936548e+18,2.342423589098968e+18,2.342424150427917e+18,2.0986895064702807e+18,
conventional_s2_psl,range_rmse_bound_m,60,0.09793950719154944,0.09793950719137387,5.627302059256018e-12,0.09793950719009575,0.09793950719300312,0.09793950718087079,0.09793950718768929,0.09793950719666517,0.09793950719933132,0.0979395072018696,0.09793950717912071,
conventional_s2_psl,centroid_magnitude_hz,60,14678.277226363065,3825.8967790860697,25207.845775456477,8166.400156501155,21190.154296224973,176.63794586821444,758.1095658317722,14931.724628220698,82620.3778186878,96119.08530471253,99.83729433769858,
conventional_s2_psl,dense_psl_db,60,-13.014297917560071,-13.02345113315247,0.07464074896634418,-13.033579667615227,-12.995016167504916,-13.067532738023235,-13.025173422780775,-13.023371276611169,-12.882388852735337,-12.642873604180494,-13.15873972933521,
conventional_s2_psl,fim_mismatch_percent,60,0.9463800040325965,0.016506634780815158,2.457691815789078,0.3114908856769696,1.5812691223882234,3.519169186710492e-05,0.0006473718137785301,0.2511387417449612,7.688080145014328,10.405241060279575,1.1225830825254235e-05,
conventional_s2_psl,solve_time_s,60,0.48575433195013223,0.48420621999866853,0.0173830308275326,0.4812638189226079,0.4902448449776566,0.45811630570096895,0.4743944107503921,0.4980471562503226,0.5135617595495205,0.5238663850032026,0.44403526300084195,
