method,metric,count,mean,median,std,ci95_low,ci95_high,p05,p25,p75,p95,max,min,rate,num_subcarriers
uniform,independently_evaluated_unknown_fim,8,8.103883268379611e+18,8.103883268379611e+18,0.0,8.103883268379611e+18,8.103883268379611e+18,8.103883268379611e+18,8.103883268379611e+18,8.103883268379611e+18,8.103883268379611e+18,8.103883268379611e+18,8.103883268379611e+18,,128
uniform,fim_mismatch_percent,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,128
uniform,centroid_magnitude_hz,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,128
uniform,dense_psl_db,8,-13.261873643755866,-13.261873643755866,0.0,-13.261873643755866,-13.261873643755866,-13.261873643755866,-13.261873643755866,-13.261873643755866,-13.261873643755866,-13.261873643755866,-13.261873643755866,,128
uniform,ee_mbit_per_j,8,2.484866425323993,2.418022797120079,0.4575057841786368,2.1023820179840453,2.867350832663941,2.0305553239188887,2.23400830058319,2.5615884268399154,3.184150695692775,3.4653717558417023,1.9274976795434937,,128
uniform,physical_sensing_feasibility_rate,8,0.0,,,0.0,0.0,,,,,,,0.0,128
uniform,dense_psl_feasibility_rate,8,1.0,,,1.0,1.0,,,,,,,1.0,128
uniform,false_sensing_feasibility_rate,8,0.0,,,0.0,0.0,,,,,,,0.0,128
water_filling,rate_spectral_efficiency,8,559.2960903624803,544.6770438371866,99.9501842810007,475.73564518281864,642.856535542142,460.76864013796586,505.6868230343549,573.6374808881517,712.6679816697914,775.5938979289426,439.05371055218046,,128
water_filling,independently_evaluated_unknown_fim,8,7.838881109134543e+18,7.908821153057063e+18,3.1862890762284256e+17,7.572500676125826e+18,8.10526154214326e+18,7.476307542717244e+18,7.493931293445773e+18,8.083659038010267e+18,8.199285501369341e+18,8.213201487902418e+18,7.47374113970277e+18,,128
water_filling,fim_mismatch_percent,8,1.3307090606171559,0.17490302761678983,2.0653221512955833,-0.39594346777123524,3.0573615890055468,0.007004872909251605,0.08971237101353527,2.1085315186817604,4.598516291960233,5.9056759223478705,0.006020174146281785,,128
water_filling,centroid_magnitude_hz,8,45625.78843343801,23148.88514700763,46275.23287948762,6938.725592899253,84312.85127397676,4617.724745640806,15242.566703581293,78122.56019408023,114579.80806650744,133561.98418125714,4287.132814180727,,128
water_filling,dense_psl_db,8,-13.981611571013593,-13.555994995507445,1.370473275078784,-15.127355901513846,-12.83586724051334,-16.045430900002636,-14.69460341792528,-13.094690542806203,-12.652200837490367,-12.533144280053918,-16.756164976192217,,128
water_filling,ee_mbit_per_j,8,2.4989825314061926,2.4336633873561553,0.44658592976552813,2.1256273508167545,2.872337711995631,2.058753498488501,2.25945176249482,2.5630610848191098,3.184261194693163,3.4654195439355386,1.9617293450194186,,128
water_filling,physical_sensing_feasibility_rate,8,0.0,,,0.0,0.0,,,,,,,0.0,128
water_filling,dense_psl_feasibility_rate,8,0.75,,,0.3629975134624202,1.1370024865375798,,,,,,,0.75,128
water_filling,false_sensing_feasibility_rate,8,0.0,,,0.0,0.0,,,,,,,0.0,128
conventional_s2,rate_spectral_efficiency,8,556.5808070554048,541.9311099601775,100.0503603973375,472.9366125466379,640.2250015641716,457.75469289432203,503.5014549045856,570.5059132106362,710.1282886916645,772.8500621034536,435.761258633573,,128
conventional_s2,independently_evaluated_unknown_fim,8,9.267152042848418e+18,9.356188459416859e+18,1.5662047642013382e+17,9.136214047805573e+18,9.398090037891262e+18,9.019256954646544e+18,9.202115807035066e+18,9.36342856818711e+18,9.3698717036578e+18,9.369954769815548e+18,8.925797417258183e+18,,128
conventional_s2,fim_mismatch_percent,8,1.1022701935805725,0.15208622993206833,1.671431465743254,-0.29508148085100183,2.499621868012147,0.006060625069127185,0.07482080141384341,1.7963275495831417,3.747771366512541,4.745158316567442,0.005174208791164326,,128
conventional_s2,centroid_magnitude_hz,8,45676.62227044451,23149.149546775283,45717.224740551304,7456.0659084961735,83897.17863239284,4617.748520715218,15243.021005199173,79867.3637379814,113104.10435660073,129824.33300907857,4286.992477237063,,128
conventional_s2,dense_psl_db,8,-11.057209983786343,-10.673615923957946,0.7743121814791749,-11.704551167375675,-10.409868800197012,-12.290982866030163,-11.32443447836129,-10.602448921479747,-10.429299306511178,-10.36013856215219,-12.328784163313891,,128
conventional_s2,ee_mbit_per_j,8,2.486850418044077,2.4213943248071215,0.4470335245658583,2.11312103883715,2.8605797972510043,2.0452869301117693,2.2496873541185143,2.549068977621397,3.1729136334529326,3.4531598538082813,1.9470183945516746,,128
conventional_s2,physical_sensing_feasibility_rate,8,0.0,,,0.0,0.0,,,,,,,0.0,128
conventional_s2,dense_psl_feasibility_rate,8,0.0,,,0.0,0.0,,,,,,,0.0,128
conventional_s2,false_sensing_feasibility_rate,8,1.0,,,1.0,1.0,,,,,,,1.0,128
exact_efim,rate_spectral_efficiency,8,556.3605178727748,541.6932583549062,100.20103540472638,472.59035590546415,640.1306798400855,457.50551000688586,502.8469988269176,570.4874877638133,710.1268305227186,772.848761425765,435.3930573751386,,128
exact_efim,independently_evaluated_unknown_fim,8,9.370439600616993e+18,9.370439605697624e+18,34529015241.015976,9.370439571750013e+18,9.370439629483973e+18,9.370439547498099e+18,9.370439597515119e+18,9.370439619412982e+18,9.37043963162642e+18,9.370439631980362e+18,9.370439522942255e+18,,128
exact_efim,fim_mismatch_percent,8,0.4165052587542936,0.07152732135500631,0.6418583555288409,-0.12010175519065874,0.953112272699246,0.002768714487334193,0.028621880107363724,0.6382820220001914,1.4359535648023336,1.8484124059075406,0.0022804854499023216,,128
