method,metric,mean,std,median,p05,p95,count,label
dinkelbach_ee_isac,range_rmse_bound_m,0.089406128881306,6.266083121516834e-12,0.08940612888024109,0.08940612887281776,0.08940612889001552,100,Dinkelbach EE-ISAC
dinkelbach_ee_isac,psl_db,-4.108787587706155,0.15525870099030303,-4.1190414759283875,-4.343169888898419,-3.832982522188833,100,Dinkelbach EE-ISAC
dinkelbach_ee_isac,isl_db,4.244734080719179,0.17270185742582578,4.258836770822358,3.9432167745879365,4.498786141586266,100,Dinkelbach EE-ISAC
dinkelbach_ee_isac,solve_time_s,0.016161165809990052,0.0011854480173524049,0.015986248500439615,0.014550613600090401,0.017759650100038014,100,Dinkelbach EE-ISAC
dinkelbach_ee_rmin_isac,rate_bps,4330346.969274834,172658.4381851476,4347384.977009609,4062963.2909282316,4640992.103032711,100,Dinkelbach EE-ISAC (+R_min)
dinkelbach_ee_rmin_isac,rate_spectral_efficiency,288.68979795165546,11.510562545676505,289.825665133974,270.86421939521546,309.399473535514,100,Dinkelbach EE-ISAC (+R_min)
dinkelbach_ee_rmin_isac,tx_power_w,0.8381473525781215,0.006128097233712638,0.8386005538275934,0.828142885721269,0.8480251363814908,100,Dinkelbach EE-ISAC (+R_min)
dinkelbach_ee_rmin_isac,system_power_w,2.894706721651776,0.01750884923917897,2.896001582364552,2.8661225306321976,2.922928961089974,100,Dinkelbach EE-ISAC (+R_min)
dinkelbach_ee_rmin_isac,energy_efficiency_bit_per_j,1496123.7118403306,63189.784336685916,1493555.6453696238,1399454.3205467353,1605497.0349722344,100,Dinkelbach EE-ISAC (+R_min)
dinkelbach_ee_rmin_isac,delay_crb_s2,3.5575676545621647e-19,6.337966890717851e-29,3.5575676547400026e-19,3.5575676533593454e-19,3.5575676551919597e-19,100,Dinkelbach EE-ISAC (+R_min)
dinkelbach_ee_rmin_isac,range_rmse_bound_m,0.08940612889008698,7.964051773780218e-12,0.08940612889232163,0.08940612887497282,0.08940612889800076,100,Dinkelbach EE-ISAC (+R_min)
dinkelbach_ee_rmin_isac,psl_db,-5.723684789470107,0.19033053290110835,-5.730669371464517,-5.998896194814643,-5.40583236323966,100,Dinkelbach EE-ISAC (+R_min)
dinkelbach_ee_rmin_isac,isl_db,1.7803977098954278,0.16751054450806088,1.7801870151019337,1.4833050942358394,2.0590462584807816,100,Dinkelbach EE-ISAC (+R_min)
dinkelbach_ee_rmin_isac,solve_time_s,0.01150404842000171,0.000569867807691513,0.011481185499860658,0.01066559394992055,0.01239786219950929,100,Dinkelbach EE-ISAC (+R_min)
