realization,method,label,status,solver_status,solver_name,solve_time_s,error,rate_spectral_efficiency,rate_bps,tx_power_w,system_power_w,energy_efficiency_bit_per_j,sensing_surrogate,delay_fim_per_s2,delay_fim_known_amplitude_per_s2,delay_fim_unknown_amplitude_per_s2,delay_crb_s2,range_rmse_bound_m,psl_db,isl_db,peak_power_w,power_variance_w2,num_active_subcarriers,meets_requirements,max_violation,violated_constraints,slack_power_nonnegative,slack_peak_power,slack_total_power,slack_min_rate,slack_min_sensing,water_level_w,solver_inaccurate,dinkelbach_iterations,dinkelbach_converged,dinkelbach_q_final_bit_per_j,dinkelbach_final_residual_bps,dinkelbach_enforces_min_rate,min_rate_se,gamma_s,water_filling_capacity_se,mean_channel_gain
58,water_filling,Water-filling (comm. only),ok,closed_form,numpy,0.00017035500013662386,,313.2895570145165,4699343.355217747,1.0000000000004996,3.357142857144285,1399804.4036812868,75919153057.85968,2.002856470618372e+18,2.002856470618372e+18,2.0028328290893855e+18,4.992869008188364e-19,0.10591702976698142,-12.88141610082368,-7.582047526428878,0.01739796270689809,1.6121812641755236e-05,62,False,30629596942.14032,min_sensing,0.0,0.04510203729310191,-4.996003610813204e-13,31.32895570145166,-30629596942.14032,0.01747256750344523,,,,,,,281.96060131306484,106548750000.0,313.2895570145165,9.273915694542753e-13
58,edge_weighted,Edge-weighted (∝ w_k),ok,closed_form,numpy,2.6745000013761455e-05,,258.66702998948995,3880005.449842349,1.0,3.357142857142857,1155746.3042083592,138161250000.0,3.644892525873283e+18,3.644892525873283e+18,3.644892525873283e+18,2.7435651199630616e-19,0.07851422418531084,-2.549921626385729,1.7017770590097698,0.045432692307692306,0.0001951694139194139,64,False,23.293571323574895,min_rate,1.1446886446886447e-05,0.017067307692307694,0.0,-23.293571323574895,31612500000.0,,,,,,,,281.96060131306484,106548750000.0,313.2895570145165,9.273915694542753e-13
58,sensing_optimal,Sensing-optimal (max S),ok,closed_form,numpy,2.0769999991898658e-05,,103.81407273569204,1557211.0910353805,1.0,3.357142857142857,463850.1122233048,177581250000.0,4.684848833230989e+18,4.684848833230989e+18,4.684848833230989e+18,2.1345405915911532e-19,0.0692536896294432,-0.2904600964737499,5.960647967914347,0.0625,0.000732421875,16,False,178.1465285773728,min_rate,0.0,0.0,0.0,-178.1465285773728,71032500000.0,,,,,,,,281.96060131306484,106548750000.0,313.2895570145165,9.273915694542753e-13
58,min_power_isac,Min-power ISAC,ok,optimal,CLARABEL,0.005253916000128811,,281.960602927974,4229409.04391961,0.8406503352207181,2.901858100630623,1457483.0667979552,106548750016.18765,2.810909300365647e+18,2.810909300365647e+18,2.8109058764221266e+18,3.5575676521114313e-19,0.08940612885929199,-5.770662749127603,2.062402951221267,0.06249999240980247,0.00014956794469254638,64,True,0.0,,9.286375092124754e-11,7.590197532991727e-09,0.15934966477928192,1.614909137970244e-06,16.187652587890625,,False,,,,,,281.96060131306484,106548750000.0,313.2895570145165,9.273915694542753e-13
58,max_rate_isac,Max-rate ISAC,ok,optimal,CLARABEL,0.004865926000093168,,306.6109297093715,4599163.945640572,0.9999999992410273,3.357142854974364,1369963.7293735875,106548749942.76408,2.8109092984286275e+18,2.8109092984286275e+18,2.8108041585378273e+18,3.557567654562979e-19,0.08940612889009723,-7.78525569837319,-1.5636888720081819,0.04237983500473552,7.110769915685028e-05,64,True,57.23591613769531,,9.715917644253275e-11,0.020120164995264478,7.589726624956938e-10,24.650328396306634,-57.23591613769531,,False,,,,,,281.96060131306484,106548750000.0,313.2895570145165,9.273915694542753e-13
58,dinkelbach_ee_isac,Dinkelbach EE-ISAC,ok,optimal,CLARABEL,0.015610100999310816,,257.85366404432716,3867804.9606649075,0.7362383241851552,2.6035380691004435,1485595.7001624657,106548749970.80652,2.8109092991684275e+18,2.8109092991684275e+18,2.8109005252948116e+18,3.5575676536266664e-19,0.08940612887833188,-4.147143586646937,4.386818072982978,0.06249999984401125,0.0002183343525922799,64,False,29.1934814453125,min_rate,4.362112845858429e-12,1.5598874969491305e-10,0.2637616758148448,-24.10693726873768,-29.1934814453125,,False,5.0,True,1485595.7001224216,0.00010425643995404243,False,281.96060131306484,106548750000.0,313.2895570145165,9.273915694542753e-13
58,dinkelbach_ee_rmin_isac,Dinkelbach EE-ISAC (+R_min),ok,optimal,CLARABEL,0.010509642000215536,,281.9606017472942,4229409.026209413,0.8406503286604243,2.901858081886927,1457483.070109083,106548749925.03894,2.8109092979610127e+18,2.8109092979610127e+18,2.810905854194449e+18,3.557567655154805e-19,0.0894061288975339,-5.770663746981515,2.062417272403296,0.062499994291699945,0.00014956859921048078,64,True,74.9610595703125,,1.594949326552808e-11,5.7083000548630025e-09,0.15934967133957567,4.342293777881423e-07,-74.9610595703125,,False,3.0,True,1457483.0707841122,-0.001958838663995266,True,281.96060131306484,106548750000.0,313.2895570145165,9.273915694542753e-13
59,uniform,Uniform,ok,closed_form,numpy,1.7359998309984803e-06,,332.25657687389605,4983848.65310844,1.0,3.357142857142857,1484550.662628046,76781250000.0,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,4.936809265680052e-19,0.10532073506634214,-13.256466474732292,-9.684463547443015,0.015625,0.0,64,False,29767500000.0,min_sensing,0.015625,0.046875,0.0,31.91857296124408,-29767500000.0,,,,,,,,300.33800391265197,106548750000.0,333.70889323627995,1.0554963319115391e-12
59,water_filling,Water-filling (comm. only),ok,closed_form,numpy,0.00014869000006001443,,333.70889323627995,5005633.398544199,1.0000000000006215,3.357142857144633,1491039.735735781,77517008036.73215,2.0450101835438246e+18,2.0450101835438246e+18,2.045010145139169e+18,4.889951199495188e-19,0.10481971384616318,-13.348568541979809,-8.172498021100909,0.01679760479115622,8.70861816787929e-06,63,False,29031741963.267853,min_sensing,0.0,0.04570239520884378,-6.215028491851626e-13,33.37088932362798,-29031741963.267853,0.016874540980763963,,,,,,,300.33800391265197,106548750000.0,333.70889323627995,1.0554963319115391e-12
59,edge_weighted,Edge-weighted (∝ w_k),ok,closed_form,numpy,2.6431000151205808e-05,,275.300553324931,4129508.299873965,1.0,3.357142857142857,1230066.3020901172,138161250000.0,3.644892525873283e+18,3.644892525873283e+18,3.644892525873283e+18,2.7435651199630616e-19,0.07851422418531084,-2.549921626385729,1.7017770590097698,0.045432692307692306,0.0001951694139194139,64,False,25.03745058772097,min_rate,1.1446886446886447e-05,0.017067307692307694,0.0,-25.03745058772097,31612500000.0,,,,,,,,300.33800391265197,106548750000.0,333.70889323627995,1.0554963319115391e-12
59,sensing_optimal,Sensing-optimal (max S),ok,closed_form,numpy,2.0158000097580953e-05,,112.68627750700342,1690294.1626050514,1.0,3.357142857142857,503491.8782227813,177581250000.0,4.684848833230989e+18,4.684848833230989e+18,4.684848833230989e+18,2.1345405915911532e-19,0.0692536896294432,-0.2904600964737499,5.960647967914347,0.0625,0.000732421875,16,False,187.65172640564856,min_rate,0.0,0.0,0.0,-187.65172640564856,71032500000.0,,,,,,,,300.33800391265197,106548750000.0,333.70889323627995,1.0554963319115391e-12
59,min_power_isac,Min-power ISAC,ok,optimal,CLARABEL,0.005514599999969505,,300.3380075543332,4505070.113314998,0.8324797470755463,2.8785135630729894,1565068.2251799293,106548750039.49829,2.8109093009806157e+18,2.8109093009806157e+18,2.810780285370789e+18,3.557567651333109e-19,0.08940612884951189,-5.766718397247658,1.949510683467666,0.061212351608908776,0.00014083871068343935,64,True,0.0,,2.948996049681511e-10,0.0012876483910912243,0.16752025292445372,3.641681246335793e-06,39.498291015625,,False,,,,,,300.33800391265197,106548750000.0,333.70889323627995,1.0554963319115391e-12
59,max_rate_isac,Max-rate ISAC,ok,optimal,CLARABEL,0.005338791999747627,,327.4093367729537,4911140.051594305,0.9999999992646444,3.3571428550418414,1462892.7822414918,106548749944.36092,2.810909298470754e+18,2.810909298470754e+18,2.810895486517446e+18,3.5575676545096624e-19,0.08940612888942727,-7.972580170924078,-2.003219334760093,0.038828363687174294,5.8621314865216934e-05,64,True,55.63908386230469,,1.0714810995569267e-10,0.023671636312825706,7.353555542266577e-10,27.07133286030171,-55.63908386230469,,False,,,,,,300.33800391265197,106548750000.0,333.70889323627995,1.0554963319115391e-12
